year,location,Soil,cultivar,sowing date,sowing configuration,esw,gsr,nheat,nheat2,Maturity Date,yield,nfrost,multiplier,frost yield,crop,crop price
1984,"Underbool, VIC",sandy,1,122,,44.71,186.4,1,,321,2452.7,0,1,2452.738,Wheat,250
1985,"Underbool, VIC",sandy,1,121,,46.808,233.4,1,,329,2250.5,0,1,2250.512,Wheat,250
1986,"Underbool, VIC",sandy,1,121,,53.455,308.8,2,,325,4217.7,0,1,4217.686,Wheat,250
1987,"Underbool, VIC",sandy,1,121,,50.3,226.5,1,,320,2371.8,0,1,2371.762,Wheat,250
1988,"Underbool, VIC",sandy,1,122,,93.797,280.3,3,,313,3024.8,0,1,3024.79,Wheat,250
1989,"Underbool, VIC",sandy,1,121,,68.429,239.3,0,,325,2426.1,0,1,2426.066,Wheat,250
1990,"Underbool, VIC",sandy,1,121,,58.243,201.3,4,,318,2051.1,0,1,2051.096,Wheat,250
1991,"Underbool, VIC",sandy,1,121,,72.011,260.4,3,,315,3389.4,0,1,3389.431,Wheat,250
1992,"Underbool, VIC",sandy,1,122,,106.236,450.6,2,,328,7656.6,0,1,7656.643,Wheat,250
1993,"Underbool, VIC",sandy,1,121,,79.363,270.5,0,,317,5799.6,0,1,5799.565,Wheat,250
1994,"Underbool, VIC",sandy,1,121,,54.123,155.1,3,,326,837.1,0,1,837.087,Wheat,250
1995,"Underbool, VIC",sandy,1,121,,76.179,284.9,2,,319,2889.7,0,1,2889.679,Wheat,250
1996,"Underbool, VIC",sandy,1,122,,70.979,269.3,1,,321,4665.4,0,1,4665.384,Wheat,250
1997,"Underbool, VIC",sandy,1,121,,57.34,190.4,3,,320,1653.1,0,1,1653.1,Wheat,250
1998,"Underbool, VIC",sandy,1,121,,89.618,220,3,,317,1589.2,0,1,1589.228,Wheat,250
1999,"Underbool, VIC",sandy,1,121,,60.434,215.6,1,,319,1658.2,0,1,1658.235,Wheat,250
2000,"Underbool, VIC",sandy,1,122,,97.143,212.9,1,,320,3228.1,0,1,3228.129,Wheat,250
2001,"Underbool, VIC",sandy,1,121,,54.288,206.6,0,,319,3441.8,0,1,3441.82,Wheat,250
2002,"Underbool, VIC",sandy,1,121,,41.249,114.6,2,,319,354.9,0,1,354.925,Wheat,250
2003,"Underbool, VIC",sandy,1,121,,41.209,245.1,1,,324,2564.4,2,0.81,2077.183,Wheat,250
2004,"Underbool, VIC",sandy,1,122,,47.646,199.6,1,,330,799.4,0,1,799.379,Wheat,250
2005,"Underbool, VIC",sandy,1,121,,63.021,209.4,0,,314,1845.3,0,1,1845.258,Wheat,250
2006,"Underbool, VIC",sandy,1,121,,41.635,94.7,4,,316,407.1,0,1,407.072,Wheat,250
2007,"Underbool, VIC",sandy,1,121,,51.886,157.4,4,,318,1048.9,0,1,1048.923,Wheat,250
2008,"Underbool, VIC",sandy,1,122,,43.79,148.6,5,,319,870.5,1,0.9,783.434,Wheat,250
2009,"Underbool, VIC",sandy,1,121,,48.605,208.7,1,,315,2654.8,0,1,2654.817,Wheat,250
2010,"Underbool, VIC",sandy,1,121,,59.899,269.8,1,,324,4001.6,1,0.9,3601.472,Wheat,250
2011,"Underbool, VIC",sandy,1,121,,86.372,169.2,2,,313,2250.7,0,1,2250.728,Wheat,250
2012,"Underbool, VIC",sandy,1,122,,49.493,89.4,2,,318,542.9,0,1,542.948,Wheat,250
2013,"Underbool, VIC",sandy,1,121,,43.398,193,1,,309,1361.9,0,1,1361.909,Wheat,250
2014,"Underbool, VIC",sandy,1,121,,53.261,95.8,6,,312,998.8,0,1,998.786,Wheat,250
2015,"Underbool, VIC",sandy,1,121,,73.743,141.6,8,,312,1209.1,0,1,1209.074,Wheat,250
2016,"Underbool, VIC",sandy,1,122,,66.653,323.2,1,,324,5185.3,0,1,5185.26,Wheat,250
2017,"Underbool, VIC",sandy,1,121,,50.077,154.6,3,,316,1478.2,0,1,1478.154,Wheat,250
1957,"Kanagulk, VIC",Shallow sand loam over clay ,1,121,,51.709,300.6,3,,340,6621.4,0,1,6621.387,Wheat,250
1958,"Kanagulk, VIC",Shallow sand loam over clay ,1,121,,209.697,529.1,0,,342,3710.9,0,1,3710.918,Wheat,250
1959,"Kanagulk, VIC",Shallow sand loam over clay ,1,121,,125.934,253.5,0,,334,4340.4,0,1,4340.434,Wheat,250
1960,"Kanagulk, VIC",Shallow sand loam over clay ,1,122,,201.156,534,0,,349,4092.1,0,1,4092.144,Wheat,250
1961,"Kanagulk, VIC",Shallow sand loam over clay ,1,121,,136.417,282.9,1,,331,5087.6,0,1,5087.566,Wheat,250
1962,"Kanagulk, VIC",Shallow sand loam over clay ,1,121,,192.215,458,0,,340,5500.8,1,0.9,4950.695,Wheat,250
1963,"Kanagulk, VIC",Shallow sand loam over clay ,1,121,,115.747,359.4,0,,332,4607.8,0,1,4607.75,Wheat,250
1964,"Kanagulk, VIC",Shallow sand loam over clay ,1,122,,250.999,629.4,1,,343,4050.5,0,1,4050.491,Wheat,250
1965,"Kanagulk, VIC",Shallow sand loam over clay ,1,121,,168.03,398.9,1,,339,5171.8,0,1,5171.833,Wheat,250
1966,"Kanagulk, VIC",Shallow sand loam over clay ,1,121,,175.864,408.5,2,,343,5575.7,0,1,5575.738,Wheat,250
1967,"Kanagulk, VIC",Shallow sand loam over clay ,1,121,,90.591,213,2,,338,4678,0,1,4677.97,Wheat,250
